natural_language_query,sql_query
get me courses in first year,SELECT * FROM complete_courses WHERE year = '1st';
fetch third year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '3rd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
retrieve courses in third year,SELECT * FROM complete_courses WHERE year = '3rd';
search for first year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '1st' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
look up courses in fourth year,SELECT * FROM complete_courses WHERE year = '4th';
Find courses are full year courses,SELECT * FROM complete_courses WHERE units >= 1.0;
display first year courses,SELECT * FROM complete_courses WHERE year = '1st';
get me all second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
which courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
list all third year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '3rd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
Can you tell me which courses have no prerequisites?,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
get me courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
query for courses in third year,SELECT * FROM complete_courses WHERE year = '3rd';
What courses are second year courses?,SELECT * FROM complete_courses WHERE year = '2nd';
show me fourth year courses,SELECT * FROM complete_courses WHERE year = '4th';
could you find courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
show me courses worth at least 1 unit,SELECT * FROM complete_courses WHERE units >= 1.0;
retrieve courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
which courses in second year,SELECT * FROM complete_courses WHERE year = '2nd';
what are the full year courses,SELECT * FROM complete_courses WHERE units >= 1.0;
I'd like to see courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
get me first year courses,SELECT * FROM complete_courses WHERE year = '1st';
search for all third year courses,SELECT * FROM complete_courses WHERE year = '3rd';
Can you tell me which courses are first year courses?,SELECT * FROM complete_courses WHERE year = '1st';
search for courses in fourth year,SELECT * FROM complete_courses WHERE year = '4th';
I need courses with no prerequisite requirements,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
show me courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
search for courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
